1725999657,buy,1.08,95.59,57840.00000000
1725999838,sell,4.57,95.55,57744.00000000
1725999838,sell,9.42,95.56,57744.00000000
1725999838,sell,6.14,95.57,57744.00000000
1725999838,sell,9.42,95.57,57744.00000000
1725999838,sell,10.45,95.58,57744.00000000
1725999855,sell,0.83,95.59,57734.93000000
1725999883,sell,1.71,95.59,57736.00000000
1725999943,buy,7.31,95.69,57722.01000000
1725999943,buy,15.68,95.69,57722.01000000
1726000069,buy,5.00,95.63,57702.01000000
1726000217,buy,19.85,95.58,57682.32000000
1726000371,sell,1.54,95.50,57744.00000000
1726000476,buy,2.89,95.67,57709.11000000
1726000602,buy,2.05,95.70,57739.14000000
1726000608,buy,1.11,95.70,57737.81000000
